wallet_count,event_name,outcome,total_volume,avg_conviction,entry_price,roi,category,status,profit_loss
5,Will Stable launch a token in 2025?,YES,35922,96.5%,0.21,376%,Other,WIN,135137
5,Will Trump acquire Greenland before 2027?,NO,31135,100.0%,0.14,614%,Politics,UNVERIFIED,
5,What will Google (GOOGL) hit before 2026?,NO,14474,100.0%,0.47,113%,Tech,UNVERIFIED,
5,Logan Paul Charizard Sale Price?,YES,26372,98.6%,0.07,1289%,Other,UNVERIFIED,
5,NVIDIA above ___ end of January?,YES,6459,100.0%,0.45,122%,Markets,UNVERIFIED,
5,Will the Iranian regime fall before 2027?,NO,14214,96.3%,0.34,194%,Geopolitics,UNVERIFIED,
5,Will Israel strike Gaza on...?,NO,21630,91.7%,0.29,245%,Geopolitics,WIN,52956
5,What will Trump say on January 28?,NO,27895,96.3%,0.48,108%,Politics,UNVERIFIED,
5,Will Silver hit ___ by end of February?,NO,27945,94.0%,0.14,614%,Commodities,UNVERIFIED,
5,Will Tesla beat quarterly earnings?,NO,48834,96.1%,0.41,144%,Markets,UNVERIFIED,
5,Will S&P 500 hit 7k by...?,NO,24925,96.1%,0.55,82%,Markets,UNVERIFIED,
5,Anyone charged over Daycare fraud?,YES,15273,96.8%,0.43,133%,Other,UNVERIFIED,
5,Khamenei out by March 31?,NO,7789,99.0%,0.18,456%,Geopolitics,UNVERIFIED,
5,US/Israel strikes Iran by...?,NO,10337,94.3%,0.23,335%,Geopolitics,UNVERIFIED,
5,What will Trump say during Fed Chair announcement?,YES,22082,92.4%,0.49,106%,Politics,UNVERIFIED,
5,Starmer out by...?,YES,17388,100.0%,0.48,108%,Politics,UNVERIFIED,
5,NVIDIA finish week above___?,YES,11699,100.0%,0.48,108%,Markets,UNVERIFIED,
5,Opendoor finish week above___?,YES,6428,100.0%,0.49,104%,Markets,UNVERIFIED,
5,Will Russia capture Myrnohrad?,NO,14901,93.2%,0.37,170%,Geopolitics,UNVERIFIED,
5,What will Gold hit by end of June?,NO,8492,100.0%,0.26,285%,Commodities,UNVERIFIED,
6,Will China invade Taiwan by end of 2026?,NO,14113,100.0%,0.14,614%,Geopolitics,UNVERIFIED,
6,Will Trump meet with Zelenskyy?,NO,17056,100.0%,0.52,94%,Politics,LOSS,-17056
6,Khamenei out by February 28?,NO,15921,98.8%,0.19,426%,Geopolitics,UNVERIFIED,
6,What will XRP hit in January?,NO,20271,94.5%,0.10,890%,Crypto,UNVERIFIED,
6,Russia x Ukraine ceasefire by March?,NO,33578,99.1%,0.56,79%,Geopolitics,UNVERIFIED,
6,Will Tesla beat earnings?,NO,48834,96.1%,0.41,144%,Markets,UNVERIFIED,
6,What will happen before GTA VI?,NO,17849,100.0%,0.49,104%,Gaming,LOSS,-17849
6,Khamenei out in 2026?,YES,20424,95.8%,0.57,75%,Geopolitics,UNVERIFIED,
6,Who will Trump talk to in February?,NO,69833,96.3%,0.51,96%,Politics,UNVERIFIED,
6,Bundesliga Top 4 Finish,NO,11820,86.5%,0.51,96%,Other,UNVERIFIED,
6,Which companies will have #1 AI?,NO,12700,95.4%,0.30,233%,Tech,UNVERIFIED,
7,Will Israel strike Gaza on...?,NO,37138,93.0%,0.25,302%,Geopolitics,WIN,112298
7,Lighter airdrop by...?,YES,45909,94.5%,0.28,257%,Other,UNVERIFIED,
7,XRP above ___ on December 1?,NO,7967,96.4%,0.42,138%,Crypto,UNVERIFIED,
7,Will Jesus Christ return in 2025?,YES,262631,99.9%,UNKNOWN,UNKNOWN,Other,UNVERIFIED,
7,Will Israel strike Lebanon?,YES,29649,94.4%,0.56,79%,Geopolitics,WIN,23296
7,Will Trump acquire Greenland?,NO,46634,99.6%,0.12,733%,Politics,UNVERIFIED,
7,Which companies run Pro Bowl ads?,YES,15005,94.3%,0.39,156%,Entertainment,UNVERIFIED,
8,Who will Trump talk to in November?,YES,25997,94.0%,0.13,646%,Politics,UNVERIFIED,
8,XRP above ___ on December 1?,YES,8584,94.2%,0.02,4662%,Crypto,UNVERIFIED,
8,Will Silver hit ___ by June?,NO,13296,94.0%,0.38,165%,Commodities,UNVERIFIED,
8,Which companies will be acquired?,YES,32342,99.3%,0.39,156%,Other,UNVERIFIED,
8,What will Trump say Feb 1?,NO,65262,94.7%,0.24,317%,Politics,WIN,206663
8,What will Powell say?,NO,38854,96.6%,0.43,133%,Other,UNVERIFIED,
8,Another Cloudflare incident?,NO,50044,99.5%,0.49,104%,Tech,UNVERIFIED,
8,Russia x Ukraine ceasefire?,NO,30153,96.4%,0.43,133%,Geopolitics,UNVERIFIED,
9,Russia x Ukraine ceasefire by March?,NO,12933,98.3%,0.11,809%,Geopolitics,UNVERIFIED,
9,What will Trump say in Iowa?,NO,19056,94.7%,0.58,72%,Politics,UNVERIFIED,
10,Maduro out by...?,NO,70220,96.6%,0.00,33233%,Geopolitics,LOSS,-70220
